Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Mature,B,Ripe,R96,M_CB_RI_96,6D,113.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,2.0,2.0,4.0,1.0,8.0,6.0,1.0,4.0,1.0,Green,Green,2.65,2.42,8.68,,56.6,60.0,25.0,0.42,0.37,0.27,0.35,10.1,10.28,9.63,10.0,38.0,40.0,38.5,38.83,0.0,6.0
Mature,B,Ripe,R97,M_CB_RI_97,6D,110.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,5.0,,1.0,9.0,7.0,1.0,3.0,1.0,More Green Than Brown,More Green than Brown,1.61,,,,45.5,53.1,11.0,0.6,0.7,0.36,0.56,8.85,9.05,8.18,8.69,,,,,0.0,6.0
Mature,B,Ripe,R98,M_CB_RI_98,6D,110.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,1.0,3.5,1.0,9.0,7.0,1.0,3.0,1.0,More Green Than Brown,More Brown than Green,1.77,1.58,10.73,,47.4,54.0,15.7,0.46,0.68,0.66,0.6,9.53,7.5,8.23,8.42,35.5,36.5,33.5,35.17,0.0,6.0
Mature,B,Overripe,R99,M_CB_OR_99,5D,111.0,Overripe,2025-09-18,,,,11.0,Yellow to Yellow Orange,1.0,5.0,5.0,,,9.0,3.0,1.0,5.0,1.0,Green,Brown,2.83,1.84,34.98,,59.9,64.5,21.0,0.48,0.28,0.61,0.46,,,,,36.5,31.5,33.5,33.83,0.0,5.0
Mature,B,Overripe,R100,M_CB_OR_100,5D,,Overripe,2025-09-18,,,,9.0,Yellow Orange,1.0,3.0,5.0,,,8.0,3.0,1.0,5.0,1.0,Green,More Green than Brown w/ Yellow Sutrue Line,2.68,2.27,15.3,,52.9,64.5,20.5,0.47,0.58,0.51,0.52,7.48,8.08,7.8,7.79,39.0,38.5,38.5,38.67,0.0,5.0
Mature,B,Overripe,R101,M_CB_OR_101,6D,110.0,Ripe,2025-09-18,,5.0,,,Yellow Orange,1.0,4.0,5.0,,1.0,9.0,7.0,1.0,4.0,1.0,More Green Than Brown,More Green than Brown,1.61,1.46,9.32,,46.2,54.5,18.55,0.48,0.43,0.38,0.43,8.53,9.58,9.28,9.13,34.0,33.0,32.0,33.0,0.0,6.0
Mature,B,Overripe,R102,M_CB_OR_102,6D,110.0,Overripe,2025-09-18,,,,9.0,Yellow Orange,1.0,3.0,5.0,,,9.0,3.0,1.0,4.0,1.0,More Brown Than Green,More Brown than Green w/ Yellow Orange Sutures,1.82,1.56,14.29,,47.8,54.7,15.0,0.49,0.61,0.51,0.54,9.85,7.63,7.48,8.32,35.0,34.0,35.0,34.67,0.0,6.0
Mature,B,Overripe,R103,M_CB_OR_103,4D,110.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow Orange,1.0,4.0,1.0,,,9.0,3.0,1.0,5.0,2.0,More Green Than Brown,More Brown than Green; Yellow Orange at Bottom near Dehisenced area (Cracked),1.88,1.52,19.15,,50.5,55.6,16.55,0.0,0.12,0.0,0.04,6.58,6.45,6.48,6.5,31.5,30.5,29.5,30.5,0.0,4.0
Mature,B,Overripe,R104,M_CB_OR_104,5D,114.0,Overripe,2025-09-18,,,,9.0,Yellow Orange,1.0,4.0,5.0,,,8.0,3.0,1.0,4.0,1.0,Green,More Green than Brown,2.52,2.03,19.44,,55.2,59.6,16.7,0.38,0.46,0.37,0.41,8.33,9.1,7.75,8.39,38.0,38.0,39.5,38.5,0.0,5.0
Mature,B,Overripe,R105,M_CB_OR_105,6D,113.0,Overripe,2025-09-18,,,,15.0,Yellow Orange,1.0,,5.0,,,8.0,2.0,1.0,4.0,2.0,Green,More Brown than Green w/ Yellow Orange at bottom near dehisence,4.04,2.77,31.44,,64.6,68.0,24.4,0.46,0.15,0.36,0.32,7.65,6.88,5.78,6.77,30.0,28.0,28.5,28.83,0.0,6.0
